theta,phi,axis,shots,counts
0.0,0.0,Z,4000,"{'1 11': 977, '0 01': 1020, '1 10': 1004, '0 00': 999}"
0.0,0.0,X,4000,"{'1 01': 501, '0 00': 487, '0 10': 501, '1 00': 511, '0 01': 494, '1 10': 494, '0 11': 480, '1 11': 532}"
0.0,0.0,Y,4000,"{'1 01': 489, '0 11': 499, '1 11': 462, '1 00': 515, '1 10': 499, '0 01': 505, '0 00': 501, '0 10': 530}"
0.0,1.5707963267948966,Z,4000,"{'1 11': 956, '1 10': 1050, '0 00': 999, '0 01': 995}"
0.0,1.5707963267948966,X,4000,"{'1 01': 477, '1 00': 519, '1 10': 508, '0 01': 525, '0 11': 544, '1 11': 498, '0 10': 486, '0 00': 443}"
0.0,1.5707963267948966,Y,4000,"{'1 01': 490, '0 00': 493, '0 10': 477, '0 11': 505, '1 11': 512, '1 10': 504, '1 00': 512, '0 01': 507}"
0.0,3.141592653589793,Z,4000,"{'1 11': 965, '0 00': 1052, '1 10': 1003, '0 01': 980}"
0.0,3.141592653589793,X,4000,"{'1 00': 499, '1 10': 522, '0 01': 484, '0 00': 543, '0 10': 472, '1 01': 517, '1 11': 470, '0 11': 493}"
0.0,3.141592653589793,Y,4000,"{'1 01': 487, '1 10': 484, '0 01': 524, '1 00': 508, '0 10': 523, '0 00': 477, '1 11': 504, '0 11': 493}"
0.0,4.71238898038469,Z,4000,"{'1 11': 995, '1 10': 985, '0 00': 1033, '0 01': 987}"
0.0,4.71238898038469,X,4000,"{'0 01': 492, '1 10': 539, '1 00': 501, '0 11': 451, '1 11': 478, '1 01': 519, '0 10': 483, '0 00': 537}"
0.0,4.71238898038469,Y,4000,"{'1 01': 498, '0 11': 478, '1 11': 508, '0 10': 526, '0 00': 473, '1 10': 488, '1 00': 509, '0 01': 520}"
1.0471975511965976,0.0,Z,4000,"{'1 01': 259, '0 10': 230, '0 00': 740, '1 11': 779, '0 11': 245, '1 00': 229, '1 10': 755, '0 01': 763}"
1.0471975511965976,0.0,X,4000,"{'0 01': 67, '1 10': 76, '1 00': 76, '0 11': 65, '1 11': 928, '1 01': 925, '0 10': 909, '0 00': 954}"
1.0471975511965976,0.0,Y,4000,"{'1 10': 477, '1 00': 493, '0 01': 506, '1 01': 522, '0 10': 526, '0 00': 493, '1 11': 503, '0 11': 480}"
1.0471975511965976,1.5707963267948966,Z,4000,"{'1 01': 236, '0 11': 236, '1 11': 744, '1 10': 725, '1 00': 242, '0 01': 782, '0 00': 769, '0 10': 266}"
1.0471975511965976,1.5707963267948966,X,4000,"{'1 01': 483, '0 01': 494, '1 10': 530, '1 00': 506, '0 11': 495, '1 11': 479, '0 00': 521, '0 10': 492}"
1.0471975511965976,1.5707963267948966,Y,4000,"{'1 00': 60, '0 01': 54, '1 10': 965, '0 10': 63, '0 00': 938, '1 01': 933, '1 11': 70, '0 11': 917}"
1.0471975511965976,3.141592653589793,Z,4000,"{'1 01': 248, '1 10': 773, '1 00': 259, '0 01': 743, '0 11': 239, '1 11': 751, '0 10': 253, '0 00': 734}"
1.0471975511965976,3.141592653589793,X,4000,"{'1 01': 63, '1 10': 936, '1 00': 917, '0 01': 935, '0 00': 63, '0 10': 65, '1 11': 64, '0 11': 957}"
1.0471975511965976,3.141592653589793,Y,4000,"{'0 11': 481, '1 11': 487, '1 00': 543, '1 10': 531, '0 01': 512, '0 00': 491, '0 10': 462, '1 01': 493}"
1.0471975511965976,4.71238898038469,Z,4000,"{'1 01': 268, '1 11': 696, '0 11': 256, '1 10': 765, '1 00': 263, '0 01': 723, '0 10': 270, '0 00': 759}"
1.0471975511965976,4.71238898038469,X,4000,"{'0 01': 486, '1 00': 526, '1 10': 464, '0 10': 499, '0 00': 502, '1 11': 500, '0 11': 537, '1 01': 486}"
1.0471975511965976,4.71238898038469,Y,4000,"{'1 01': 61, '1 00': 970, '0 01': 959, '1 10': 70, '0 00': 59, '0 10': 913, '0 11': 56, '1 11': 912}"
2.0943951023931953,0.0,Z,4000,"{'0 00': 252, '0 10': 758, '1 10': 257, '1 00': 784, '0 01': 256, '1 11': 232, '0 11': 747, '1 01': 714}"
2.0943951023931953,0.0,X,4000,"{'1 00': 76, '1 10': 63, '0 01': 75, '1 11': 983, '0 11': 81, '0 00': 870, '0 10': 916, '1 01': 936}"
2.0943951023931953,0.0,Y,4000,"{'0 11': 507, '1 11': 494, '1 00': 539, '1 10': 470, '0 01': 499, '1 01': 463, '0 00': 518, '0 10': 510}"
2.0943951023931953,1.5707963267948966,Z,4000,"{'0 01': 249, '1 10': 240, '1 00': 723, '0 00': 230, '0 10': 792, '1 01': 758, '1 11': 248, '0 11': 760}"
2.0943951023931953,1.5707963267948966,X,4000,"{'1 01': 495, '1 00': 508, '0 01': 486, '1 10': 513, '0 10': 508, '0 00': 531, '1 11': 495, '0 11': 464}"
2.0943951023931953,1.5707963267948966,Y,4000,"{'1 00': 56, '1 10': 955, '0 01': 84, '0 11': 920, '1 11': 75, '1 01': 938, '0 10': 65, '0 00': 907}"
2.0943951023931953,3.141592653589793,Z,4000,"{'0 11': 697, '1 11': 255, '0 00': 237, '0 10': 780, '1 01': 770, '1 10': 247, '0 01': 273, '1 00': 741}"
2.0943951023931953,3.141592653589793,X,4000,"{'1 01': 80, '0 10': 64, '0 00': 73, '0 11': 931, '1 11': 66, '1 10': 917, '1 00': 894, '0 01': 975}"
2.0943951023931953,3.141592653589793,Y,4000,"{'0 00': 542, '0 10': 490, '1 11': 495, '0 11': 538, '0 01': 511, '1 00': 476, '1 10': 475, '1 01': 473}"
2.0943951023931953,4.71238898038469,Z,4000,"{'1 10': 250, '0 01': 249, '1 00': 752, '0 11': 724, '1 11': 240, '1 01': 817, '0 00': 222, '0 10': 746}"
2.0943951023931953,4.71238898038469,X,4000,"{'1 00': 491, '1 10': 517, '0 01': 487, '1 11': 484, '0 11': 511, '0 00': 488, '0 10': 520, '1 01': 502}"
2.0943951023931953,4.71238898038469,Y,4000,"{'1 01': 66, '0 01': 965, '1 00': 921, '1 10': 74, '0 00': 66, '0 10': 915, '0 11': 62, '1 11': 931}"
3.141592653589793,0.0,Z,4000,"{'1 00': 1000, '1 01': 955, '0 11': 1013, '0 10': 1032}"
3.141592653589793,0.0,X,4000,"{'0 01': 498, '1 10': 507, '1 00': 473, '1 01': 536, '1 11': 446, '0 11': 502, '0 00': 485, '0 10': 553}"
3.141592653589793,0.0,Y,4000,"{'0 10': 520, '0 00': 499, '1 01': 487, '1 10': 515, '0 01': 506, '1 00': 496, '1 11': 487, '0 11': 490}"
3.141592653589793,1.5707963267948966,Z,4000,"{'1 00': 981, '0 10': 1047, '1 01': 1008, '0 11': 964}"
3.141592653589793,1.5707963267948966,X,4000,"{'1 01': 514, '1 00': 487, '0 01': 500, '1 10': 513, '0 10': 499, '0 00': 500, '1 11': 499, '0 11': 488}"
3.141592653589793,1.5707963267948966,Y,4000,"{'1 11': 544, '0 11': 482, '0 00': 501, '0 10': 497, '1 01': 486, '1 00': 497, '0 01': 502, '1 10': 491}"
3.141592653589793,3.141592653589793,Z,4000,"{'1 00': 978, '0 10': 1009, '0 11': 1011, '1 01': 1002}"
3.141592653589793,3.141592653589793,X,4000,"{'0 11': 488, '1 11': 473, '1 00': 507, '1 10': 502, '0 01': 486, '0 10': 505, '0 00': 517, '1 01': 522}"
3.141592653589793,3.141592653589793,Y,4000,"{'0 11': 505, '1 11': 497, '0 00': 505, '0 10': 494, '0 01': 459, '1 00': 521, '1 10': 480, '1 01': 539}"
3.141592653589793,4.71238898038469,Z,4000,"{'1 00': 1014, '0 10': 977, '1 01': 967, '0 11': 1042}"
3.141592653589793,4.71238898038469,X,4000,"{'0 10': 456, '0 00': 515, '1 10': 459, '1 00': 526, '0 01': 489, '1 11': 518, '0 11': 533, '1 01': 504}"
