theta,phi,axis,shots,counts
0.0,0.0,Z,4000,"{'000': 954, '001': 948, '111': 886, '110': 856, '010': 59, '101': 121, '100': 121, '011': 55}"
0.0,0.0,X,4000,"{'111': 445, '001': 565, '100': 550, '101': 497, '011': 473, '010': 459, '110': 445, '000': 566}"
0.0,0.0,Y,4000,"{'101': 483, '111': 479, '011': 435, '001': 631, '100': 483, '010': 368, '000': 598, '110': 523}"
0.0,1.5707963267948966,Z,4000,"{'100': 141, '111': 841, '001': 924, '101': 157, '000': 970, '110': 860, '010': 49, '011': 58}"
0.0,1.5707963267948966,X,4000,"{'101': 517, '011': 423, '110': 444, '100': 514, '001': 582, '010': 467, '111': 474, '000': 579}"
0.0,1.5707963267948966,Y,4000,"{'010': 413, '111': 518, '011': 398, '100': 511, '001': 593, '000': 602, '101': 450, '110': 515}"
0.0,3.141592653589793,Z,4000,"{'001': 952, '101': 130, '000': 945, '111': 875, '110': 829, '100': 151, '011': 61, '010': 57}"
0.0,3.141592653589793,X,4000,"{'000': 573, '100': 544, '101': 515, '111': 447, '001': 567, '011': 456, '010': 465, '110': 433}"
0.0,3.141592653589793,Y,4000,"{'101': 523, '110': 481, '011': 412, '010': 420, '000': 564, '100': 498, '111': 512, '001': 590}"
0.0,4.71238898038469,Z,4000,"{'110': 817, '111': 893, '000': 949, '001': 963, '101': 139, '010': 56, '100': 116, '011': 67}"
0.0,4.71238898038469,X,4000,"{'001': 573, '111': 452, '000': 569, '010': 468, '101': 531, '100': 519, '011': 478, '110': 410}"
0.0,4.71238898038469,Y,4000,"{'101': 526, '010': 374, '011': 390, '110': 536, '100': 463, '001': 618, '111': 512, '000': 581}"
1.0471975511965976,0.0,Z,4000,"{'000': 782, '001': 708, '111': 729, '110': 631, '010': 272, '011': 249, '100': 310, '101': 319}"
1.0471975511965976,0.0,X,4000,"{'101': 855, '000': 1058, '010': 772, '111': 837, '001': 143, '011': 112, '110': 101, '100': 122}"
1.0471975511965976,0.0,Y,4000,"{'000': 563, '101': 413, '001': 569, '011': 425, '110': 500, '111': 506, '100': 623, '010': 401}"
1.0471975511965976,1.5707963267948966,Z,4000,"{'000': 721, '001': 803, '011': 235, '101': 267, '111': 665, '100': 416, '010': 314, '110': 579}"
1.0471975511965976,1.5707963267948966,X,4000,"{'010': 461, '101': 543, '000': 585, '100': 448, '001': 537, '110': 464, '011': 484, '111': 478}"
1.0471975511965976,1.5707963267948966,Y,4000,"{'110': 838, '000': 867, '011': 730, '101': 838, '111': 185, '001': 260, '100': 201, '010': 81}"
1.0471975511965976,3.141592653589793,Z,4000,"{'100': 345, '110': 659, '111': 630, '000': 699, '011': 266, '101': 333, '001': 818, '010': 250}"
1.0471975511965976,3.141592653589793,X,4000,"{'110': 789, '100': 876, '001': 1015, '101': 148, '010': 84, '011': 829, '111': 118, '000': 141}"
1.0471975511965976,3.141592653589793,Y,4000,"{'101': 575, '001': 597, '100': 429, '011': 392, '000': 553, '111': 547, '110': 463, '010': 444}"
1.0471975511965976,4.71238898038469,Z,4000,"{'110': 687, '111': 593, '100': 234, '000': 816, '001': 723, '011': 337, '101': 409, '010': 201}"
1.0471975511965976,4.71238898038469,X,4000,"{'100': 522, '000': 541, '001': 605, '101': 525, '110': 423, '010': 461, '011': 457, '111': 466}"
1.0471975511965976,4.71238898038469,Y,4000,"{'010': 778, '001': 901, '101': 184, '111': 849, '100': 835, '011': 83, '110': 164, '000': 206}"
2.0943951023931953,0.0,Z,4000,"{'101': 702, '111': 283, '011': 698, '100': 708, '010': 676, '001': 301, '110': 251, '000': 381}"
2.0943951023931953,0.0,X,4000,"{'000': 985, '101': 871, '010': 809, '001': 128, '111': 883, '100': 105, '011': 97, '110': 122}"
2.0943951023931953,0.0,Y,4000,"{'010': 476, '100': 601, '111': 426, '011': 536, '001': 453, '101': 522, '000': 514, '110': 472}"
2.0943951023931953,1.5707963267948966,Z,4000,"{'010': 734, '101': 645, '001': 390, '110': 206, '100': 769, '011': 661, '000': 280, '111': 315}"
2.0943951023931953,1.5707963267948966,X,4000,"{'011': 506, '110': 516, '101': 493, '000': 570, '001': 555, '111': 467, '100': 461, '010': 432}"
2.0943951023931953,1.5707963267948966,Y,4000,"{'011': 855, '000': 829, '101': 891, '110': 750, '111': 116, '001': 169, '010': 170, '100': 220}"
2.0943951023931953,3.141592653589793,Z,4000,"{'011': 673, '000': 291, '111': 289, '010': 669, '101': 729, '001': 363, '100': 728, '110': 258}"
2.0943951023931953,3.141592653589793,X,4000,"{'011': 820, '100': 849, '001': 1029, '111': 110, '110': 840, '101': 124, '010': 109, '000': 119}"
2.0943951023931953,3.141592653589793,Y,4000,"{'000': 465, '100': 524, '111': 476, '110': 421, '011': 456, '010': 520, '101': 625, '001': 513}"
2.0943951023931953,4.71238898038469,Z,4000,"{'010': 699, '101': 722, '011': 741, '000': 365, '110': 325, '001': 282, '100': 658, '111': 208}"
2.0943951023931953,4.71238898038469,X,4000,"{'111': 569, '001': 549, '110': 486, '011': 412, '101': 442, '010': 499, '000': 550, '100': 493}"
2.0943951023931953,4.71238898038469,Y,4000,"{'111': 840, '100': 878, '010': 799, '001': 817, '101': 240, '110': 124, '011': 154, '000': 148}"
3.141592653589793,0.0,Z,4000,"{'010': 869, '100': 963, '101': 870, '110': 74, '011': 898, '000': 121, '001': 139, '111': 66}"
3.141592653589793,0.0,X,4000,"{'001': 574, '010': 456, '111': 485, '110': 522, '100': 500, '011': 482, '000': 522, '101': 459}"
3.141592653589793,0.0,Y,4000,"{'111': 459, '100': 603, '000': 429, '101': 545, '011': 498, '010': 559, '110': 404, '001': 503}"
3.141592653589793,1.5707963267948966,Z,4000,"{'100': 893, '011': 888, '010': 918, '101': 918, '000': 108, '001': 125, '111': 81, '110': 69}"
3.141592653589793,1.5707963267948966,X,4000,"{'001': 587, '101': 460, '110': 512, '111': 446, '011': 522, '000': 495, '010': 450, '100': 528}"
3.141592653589793,1.5707963267948966,Y,4000,"{'110': 412, '100': 565, '000': 487, '111': 444, '101': 573, '001': 453, '010': 532, '011': 534}"
3.141592653589793,3.141592653589793,Z,4000,"{'100': 884, '101': 939, '111': 71, '011': 901, '001': 117, '010': 886, '110': 71, '000': 131}"
3.141592653589793,3.141592653589793,X,4000,"{'110': 526, '010': 476, '011': 477, '111': 509, '000': 563, '101': 448, '100': 472, '001': 529}"
3.141592653589793,3.141592653589793,Y,4000,"{'100': 619, '001': 481, '111': 473, '010': 574, '011': 505, '000': 411, '101': 563, '110': 374}"
3.141592653589793,4.71238898038469,Z,4000,"{'100': 953, '101': 894, '011': 846, '010': 915, '000': 130, '111': 73, '110': 73, '001': 116}"
3.141592653589793,4.71238898038469,X,4000,"{'101': 517, '011': 447, '110': 444, '010': 512, '001': 511, '100': 455, '000': 571, '111': 543}"
3.141592653589793,4.71238898038469,Y,4000,"{'000': 429, '110': 415, '010': 580, '101': 506, '111': 479, '100': 580, '011': 555, '001': 456}"
